date,massif,orientation,secteur,lat_depart,lon_depart,pente,activite
28 fevrier 2019 ,Bornes - Aravis,W,Borne-Fier ,45.9231,06.4836,40-45/350,RAS
28 fevrier 2019 ,Bauges,N,Bauges ,45.6920,06.1711,45° sur 50m puis 40° sur 500m,RAS
28 fevrier 2019 ,Belledonne,T,Grésivaudan ,45.28252,6.074538,35° (passage Brabant versant E),aucune
28 fevrier 2019 ,Mont Blanc,N,Vallée de l'Arve ,45.86739,6.76172,"45° à 50°, des passages plus raides",RAS
28 fevrier 2019 ,Belledonne,NE,Grésivaudan ,45.33579,6.11992,Passages à 30-35°,ras
28 fevrier 2019 ,Cerces - Thabor - Mont Cenis,N,"Haute Durance, Briançonnais ",45.01942,6.606645,35°/200m,RAS
28 fevrier 2019 ,Préalpes de Digne,NE,Haut-Verdon ,44.259,6.587,faible,RAS sur l'itinéraire
28 fevrier 2019 ,Vercors,NE,Vercors ,45.0198,05.5313,un peu de 30°,"RAS, tout figé"
28 fevrier 2019 ,Ecrins,E,Champsaur ,44.6628,06.3179,100m à 40°,ras sur l'itinéraire
28 fevrier 2019 ,Belledonne,T,Grésivaudan ,45.33579,6.11992,40° voir 45°,ras
27 fevrier 2019 ,Queyras - Alpes Cozie N,W,"Haute Durance, Briançonnais ",44.85518,6.72729,&amp;lt;35°,ras
27 fevrier 2019 ,Taillefer - Matheysine,W,Matheysine et périphériques ,44.9834,05.8942,35°,RAS
27 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,SW,Ubaye ,44.5930,06.8424,35° maxi,RAS
27 fevrier 2019 ,Cerces - Thabor - Mont Cenis,NE,"Haute Durance, Briançonnais ",45.0025,6.66083,35° - court passage à 40° pour le sommet,RAS
27 fevrier 2019 ,Mont Blanc,NW,Vallée de l'Arve ,45.79597,6.71743,40°,RAS. Quelques grosses coulées versant sud devant la Balme
27 fevrier 2019 ,Vanoise,W,Tarentaise ,45.4264,06.7042,40° sur 200m/Passages à 45°,RAS
27 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,SW,Ubaye ,44.48138,6.80775,38° sur 500m,néant
27 fevrier 2019 ,Belledonne,T,Grésivaudan ,45.3936,6.1279,passages 35°,"ras pendant la sortie. Nombreuses coulées parfois récentes vues, notamment sous le col de la Bourbière en contre-pentes orientées sud."
27 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SW,Vésubie ,44.07392,7.400557,40° max,Rien vu.
27 fevrier 2019 ,Bornes - Aravis,NW,Faucigny ,46.0237,06.4790,"45°-50°/450m, goulottes plus raides en bas",RAS
27 fevrier 2019 ,Mont Blanc,N,Vallée de l'Arve ,45.8899,6.7889,40-45 sur 500m,RAS
27 fevrier 2019 ,Ecrins,NW,Champsaur ,44.7471,06.1226,40/45° sur 400m. Court pass plus raide.,Rien observé
27 fevrier 2019 ,Vercors,W,Vercors ,45.1071,05.6038,30° max,ras
27 fevrier 2019 ,Mont Blanc,NE,Vallée de l'Arve ,45.9784,6.9266,petit 45/500m avec départ à 50,RAS
27 fevrier 2019 ,Ecrins,N,"Oisans Haute Durance, Briançonnais ",45.0332,6.4037,passages à 40°,rien de récent
27 fevrier 2019 ,Ecrins,NE,Embrunais ,44.6153,06.3335,40° sur 100m,RAS sur l'itinéraire.
27 fevrier 2019 ,Belledonne,E,Oisans ,45.20321,6.04034,40°/150m,RAS
27 fevrier 2019 ,Vanoise,W,Maurienne ,45.2513,06.4721,30°,RAS
27 fevrier 2019 ,Mont Blanc,W,Vallée de l'Arve ,45.8231,06.7351,40/45 700m +45 200m,ras
27 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,W,Faucigny ,46.1125,06.7503,30°,RAS
27 fevrier 2019 ,Bornes - Aravis,T,Borne-Fier ,45.8108,06.3250,30-35°,RAS
27 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.1870,5.8994,40°/200,"aucune (faire gaffe tout de même, ça commence à chauffer fort)"
26 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,NW,Faucigny ,46.03749,6.77496,35° max,RAS
26 fevrier 2019 ,Ecrins,S,Champsaur ,44.6891,06.1663,30°,ras.
26 fevrier 2019 ,Queyras - Alpes Cozie N,N,"Haute Durance, Briançonnais ",44.85518,6.72729,35° Maxi,RAS
26 fevrier 2019 ,Ecrins,NE,"Haute Durance, Briançonnais ",45.0108,6.4660,"40° sur 100m, 37° sur 300m",Ras
26 fevrier 2019 ,Queyras - Alpes Cozie N,N,"Haute Durance, Briançonnais ",44.85518,6.72729,"Faible, 20° dans le ravin",ras
26 fevrier 2019 ,Queyras - Alpes Cozie N,SW,Queyras ,44.77603,6.76762,"~40° sur 400m, passages 45°",rien vu à part de vieilles coulées en Nord comme en Sud. Encore quelques woumfs à l'ombre sur les plats.
26 fevrier 2019 ,Mont-Perdu - Gavarnie - Bigorre,N,,42.8775,-0.03720,35,RAS
26 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,N,Ubaye ,44.45966,6.827970,40° sur 100m,Rien vu sur la boucle
26 fevrier 2019 ,Devoluy,T,Devoluy ,44.7203,05.8807,entre 45°et 55° sur 300m,"RAS en neige, quelques chutes de cailloux pas très loin"
26 fevrier 2019 ,Chablais - Faucigny,N,Chablais ,46.18992,6.75273,45° passage 50° sur 250m,"RAS, pas neigé depuis 15j... coulées en sud derrière les hauts forts avant le couloir."
26 fevrier 2019 ,Chartreuse,SW,Grésivaudan ,45.29762,5.84279,40-45° sur 150 m,RAS
26 fevrier 2019 ,Chablais - Faucigny,NE,Chablais ,46.2093,06.5761,32° sur 250m,RAS
26 fevrier 2019 ,Vercors,W,Trièves Dévoluy ,44.9007,05.5706,25,ras
26 fevrier 2019 ,Queyras - Alpes Cozie N,NE,Queyras ,44.71893,6.90379,50°/50m puis 45°/200m,RAS
26 fevrier 2019 ,Taillefer - Matheysine,E,Oisans ,45.0720,05.9799,30° à 35° par endroits,RAS
26 fevrier 2019 ,Cerces - Thabor - Mont Cenis,SE,"Haute Durance, Briançonnais ",45.0181,06.4663,40°/100m,RAS
26 fevrier 2019 ,Belledonne,N,Maurienne ,45.28305,6.21008,Passages à 45 ; 41°/200m,ras
26 fevrier 2019 ,Ecrins,N,Champsaur ,44.6718,06.3242,30° sur 300m,ras
26 fevrier 2019 ,Cerces - Thabor - Mont Cenis,T,"Haute Durance, Briançonnais ",45.0430,06.4254,40° à 45° sur 400m,aucune récente
26 fevrier 2019 ,Chartreuse,N,Chartreuse ,45.35778,5.74426,30°,ras
26 fevrier 2019 ,Grandes Rousses - Arves,E,Maurienne ,45.2058,06.4194,30°,RAS
26 fevrier 2019 ,Mont Blanc,W,Vallée de l'Arve ,45.9784,6.9266,30,ras
25 fevrier 2019 ,Belledonne,T,Grésivaudan ,45.1870,5.8994,35,aucune (se méfier des faces qui prennent vraiment le chaud)
25 fevrier 2019 ,Belledonne,NE,Grésivaudan ,45.28252,6.074538,"Gros 45° sur 200m, Courts passages à 50.","RAS, des traces d'anciennes purges dans le couloir."
25 fevrier 2019 ,Taillefer - Matheysine,S,Matheysine et périphériques ,45.0101,05.8865,35°,ras
25 fevrier 2019 ,Mont Blanc,E,Vallée de l'Arve ,45.9016,06.8850,43° sur 200 m,RAS
25 fevrier 2019 ,Devoluy,T,Devoluy ,44.6656,05.9468,passages à 30°,RAS
25 fevrier 2019 ,Chartreuse,NE,Chartreuse ,45.35778,5.74426,40° max,"ras, ancienne coulée de fonte sous les dalles."
25 fevrier 2019 ,Vanoise,T,Tarentaise ,45.3817,06.7153,"40/45° sur 250m, pass à  45°/50°",RAS
25 fevrier 2019 ,Belledonne,W,Grésivaudan ,45.1870,5.8994,passages 35°,"RAS, tout semble bien stable."
25 fevrier 2019 ,Chartreuse,NE,Grésivaudan ,45.37874,5.92124,"35°/100m, courts passages > 35°",RAS
25 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,S,Bas Valais - Chablais Vaudois ,46.0822,06.9740,30°/35° sur 400m,RAS
25 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,NE,Ubaye ,44.52694,6.71472,30° sur 500m (pass. à 35°),rien vu mais ça chauffe fort et tôt dès le matin.
25 fevrier 2019 ,Ecrins,T,"Haute Durance, Briançonnais ",44.9704,6.4998,"passages 40 sur le haut, puis 40 sur 250 m depuis le col",aucune récente
25 fevrier 2019 ,Vercors,SE,Trièves Dévoluy ,44.9900,05.5950,passages à 45°,ras
25 fevrier 2019 ,Ecrins,E,Champsaur ,44.6628,06.3179,30° maxi,RAS
24 fevrier 2019 ,Valbonë (Albanie),S,,42.43146,19.87674,35° max,ras
24 fevrier 2019 ,Devoluy,T,Devoluy ,44.6390,05.8476,40° sur 120m,aucune.
24 fevrier 2019 ,Ecrins,NE,"Haute Durance, Briançonnais ",44.833,06.566,45° sur 100m,RAS.
24 fevrier 2019 ,Ecrins,S,"Haute Durance, Briançonnais ",44.9011,6.4929,"40° sur 150 m, puis 35° sur 1200m",ras
24 fevrier 2019 ,Taillefer - Matheysine,S,Matheysine et périphériques ,44.9728,05.8252,"Pente soutenue sur 500m, quelques mètres à 45°",rien.
24 fevrier 2019 ,Chablais - Faucigny,SW,Chablais ,46.3147,06.6909,30%,RAS beaucoup de purges plutôt côté Ouest et Sud. Encore de la place sous le col de Bise bien purgé un peu partout.
24 fevrier 2019 ,Vanoise,SW,Maurienne ,45.24232,6.4776,35° maxi,RAS
24 fevrier 2019 ,Massif Central,N,,,,30° maxi,RAS!
24 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,NW,Val Gesso et Vermenagna (Alpi Marittime) ,44.20826,7.273421,40°/45° sur 450m puis 45°/50 ° sur 200 m,néant
24 fevrier 2019 ,Ecrins,W,Matheysine et périphériques ,44.9865,05.9704,30-35°,RAS
24 fevrier 2019 ,Vercors,W,Vercors ,45.0559,05.5680,35 maxi,RAS
24 fevrier 2019 ,Chartreuse,N,Chartreuse ,45.35778,5.74426,30°,RAS
24 fevrier 2019 ,Belledonne,T,Oisans ,45.13065,6.01986,40° sur 100m,RAS
24 fevrier 2019 ,Ecrins,E,"Haute Durance, Briançonnais ",44.8552,06.4803,30° maxi,ras
24 fevrier 2019 ,Mont Blanc,W,Vallée de l'Arve ,45.79597,6.71743,35° sur 800m sous le Tondu et gros 35°/700m au Nant Blanc,aucune activité avalancheuse observée durant ces 2 jours
24 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,T,Vésubie ,44.11996,7.27398,Couloir SE S4 120 metres ,"RAS, bonne stabilité du manteau neigeux et des plaques que l'on trouve parfois près des crêtes et cols."
24 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,N,Bas Valais - Chablais Vaudois ,46.1631,06.8609,38°/500 avec passage à 45,"RAS, dans le couloir ***/**** soit de la poudreuse tassée, soit neige dure avec très bon grip. Sous le couloir jusqu'à 1500m ancienne poudreuse tassé ****. Ensuite c'est du chemin et de la piste."
24 fevrier 2019 ,Mont-Perdu - Gavarnie - Bigorre,S,,42.85278,-0.13417,30° avec passages à 35/40° localement,ras
24 fevrier 2019 ,Queyras - Alpes Cozie N,T,Queyras ,44.71893,6.90379,30/35° ,Ras
24 fevrier 2019 ,Belledonne,NE,Grésivaudan ,45.28252,6.074538,faible,Ras ce jour
24 fevrier 2019 ,Taillefer - Matheysine,SW,Matheysine et périphériques ,44.9160,05.8788,35° sur 600m,"Rien vu, manteau de type printanier sur les versants ensoleillés"
24 fevrier 2019 ,Mont Blanc,W,Vallée de l'Arve ,45.8231,06.7351,40/45 700m +45 200m,ras
24 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SE,Vésubie ,44.11996,7.27398,450m entre 35 et 40° Moyenne à 36°,Rien vu. Toute la neige rencontrée avait déjà subit plusieurs cycles gel/dégel
24 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SE,Tinée ,44.18351,7.162377,35° sur 250m,"Nada, en même temps à part des avalanches de pierres bientôt il ne restera plus grand chose"
24 fevrier 2019 ,Vercors,W,Vercors ,45.0559,05.5680,40°/150m,ras
24 fevrier 2019 ,Queyras - Alpes Cozie N,NW,Queyras ,44.69759,6.85885,33° sur 200m,RAS
24 fevrier 2019 ,Taillefer - Matheysine,E,Matheysine et périphériques ,44.94667,05.96861,"40°/200m, 30°/900m ",Anciennes grosses coulées dans le vallon. Coulées de neige lourde à partir de 11h30/12h sur les faces orientées Est.
24 fevrier 2019 ,Belledonne,N,Maurienne ,45.37180,6.25654,45°/50m 40°/350,ras. coulées en S du grand miceau.
24 fevrier 2019 ,Lauzière - Cheval Noir,T,Tarentaise ,45.3798,6.4933,30 max,Ras
24 fevrier 2019 ,Lauzière - Cheval Noir,NE,Tarentaise ,45.4991,06.4317,45-50° sur 10m en haut puis 40° sur 200m,"RAS. Rien vu ce jour, c'est bien stable. Des anciennes coulées de lourde dans les pentes les plus raides."
24 fevrier 2019 ,Belledonne,T,Grésivaudan ,45.29704,6.07915,42°/200,RAS
24 fevrier 2019 ,Queyras - Alpes Cozie N,S,Ubaye ,44.58583,6.82528,42° sur 150m - 35° sur 1000m,RAS........................................
24 fevrier 2019 ,Bornes - Aravis,W,Borne-Fier ,45.8028,06.3850,35°/150,RAS ça a déjà bien purgé de partout
24 fevrier 2019 ,Alpes Grées N,W,Tarentaise ,45.60083,6.88833,35° max,RAS
24 fevrier 2019 ,Ecrins,E,"Haute Durance, Briançonnais ",44.6807,06.5832,faible,rien vu sur l'itinéraire
24 fevrier 2019 ,Bornes - Aravis,N,Vallée de l'Arve ,45.9578,06.6100,37° sur 500m,RAS
24 fevrier 2019 ,Belledonne,T,Maurienne ,45.37180,6.25654,35°,ras
24 fevrier 2019 ,Belledonne,N,Grésivaudan ,45.24319,5.979609,45,RAS
24 fevrier 2019 ,Belledonne,E,Grésivaudan ,45.24319,5.979609,"30°/100m, plus raide directement sous le sommet",RAS
24 fevrier 2019 ,Lauzière - Cheval Noir,E,Tarentaise ,45.47123,6.41270,"30°, passage un peu plus raide sur la fin.",Rien ce jour. Il y a eu des purges en face sud les jours précédents.
24 fevrier 2019 ,Chartreuse,SW,Grésivaudan ,45.29762,5.84279,40-45° sur 150 m,ras
24 fevrier 2019 ,Belledonne,NW,Grésivaudan ,45.24319,5.979609,30/35°,RAS
24 fevrier 2019 ,Alpes Grées S,NW,Maurienne ,45.2895,06.9148,30/35° avec qqes passages un plus raide,RAS
24 fevrier 2019 ,Ecrins,E,"Haute Durance, Briançonnais ",44.7421,06.4896,passages à 40°,RAS
24 fevrier 2019 ,Chartreuse,E,Grésivaudan ,45.4074,05.9454,45°/250m + étroitures à 50°,RAS
23 fevrier 2019 ,Chablais - Faucigny,W,Faucigny ,46.0992,06.4383,30°max,ras
23 fevrier 2019 ,Vanoise,N,Tarentaise ,45.29646,6.56391,Faible,"RAS, temps calme, peu de vent au sommet"
23 fevrier 2019 ,Vercors,W,Trièves Dévoluy ,44.9143,05.5713,30°,RAS
23 fevrier 2019 ,Massif Central,SE,,45.49759,2.822605,40-35°/200 m,nulle
23 fevrier 2019 ,Vercors,W,Vercors ,45.0239,05.5174,30° maxi,rien vu
23 fevrier 2019 ,Belledonne,T,Oisans ,45.20321,6.04034,30° soutenu,rien de spécial
23 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,NE,Ubaye ,44.45144,6.844782,38° sur 250m (pass. > 40°),ras
23 fevrier 2019 ,Lauzière - Cheval Noir,S,Maurienne ,45.2513,06.4721,Quelques pentes à 40°,RAS
23 fevrier 2019 ,Mont Blanc,NE,Valais Central ,45.9851,7.1214,45/300 un peu plus raide en haut. 40/500 dans le bas,RAS
23 fevrier 2019 ,Taillefer - Matheysine,W,Matheysine et périphériques ,45.0037,05.7983,35°/500,"RAS ce jour, mais une ancienne coulée ""décrochée au sol"" aperçue à proximité."
23 fevrier 2019 ,Queyras - Alpes Cozie N,W,"Haute Durance, Briançonnais ",44.85518,6.72729,Passages > 30°,Ras
23 fevrier 2019 ,Chartreuse,W,Chartreuse ,45.3154,05.8090,30° max,RAS
23 fevrier 2019 ,Mont-Perdu - Gavarnie - Bigorre,T,,42.85278,-0.13417,35°,ras
23 fevrier 2019 ,Queyras - Alpes Cozie N,NE,"Haute Durance, Briançonnais ",44.87193,6.63119,32° sur 100m,RAS
23 fevrier 2019 ,Bornes - Aravis,W,Faucigny ,46.0237,06.4790,"35/ 40° sur 200m, 40/45° sur 100m.",RAS
23 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,S,Vésubie ,44.11996,7.27398,Faible,RAS
23 fevrier 2019 ,Taillefer - Matheysine,W,Matheysine et périphériques ,45.0101,05.8865,45° / 700 m,RAS
23 fevrier 2019 ,Alpes Bernoises W,NE,Haut Valais ,46.3941,7.7589,30-35°,néant
23 fevrier 2019 ,Alpes Grées N,NE,Tarentaise ,45.60083,6.88833,30° ,petit départ de fond vers 16h sur une pente orientée S.
23 fevrier 2019 ,Belledonne,N,Grésivaudan ,45.2620,6.0481,35° sur 200m,ras
23 fevrier 2019 ,Bornes - Aravis,N,Borne-Fier ,46.0023,06.5043,40° sur 100m,RAS
23 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,SE,Faucigny ,46.1028,06.7437,40° sur 150 m,néant
23 fevrier 2019 ,Belledonne,N,Grésivaudan ,45.1870,5.8994,"40°/150 m et plus raide sur 20m à l'entrée, 35°/200m ","pas d'activité avalancheuse observée, le manteau neigeux est très stable"
23 fevrier 2019 ,Préalpes de Digne,W,,44.31917,6.4225,45° sur 200m - passage à 50°,RAS
23 fevrier 2019 ,Bornes - Aravis,T,Borne-Fier ,45.8373,06.4159,"43°/100m, 39°/250m",quelques plaques de fond récentes en orientations S
23 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SE,Vésubie ,44.11325,7.289471,"45°/300m, pass 50°","ras, purge de surface de la transfo dans le couloir"
23 fevrier 2019 par ,Mercantour - Alpes Maritimes Italiennes,S,Vésubie ,44.11996,7.27398,40° sur 100m,Néant
23 fevrier 2019 ,Belledonne,SW,Grésivaudan ,45.1870,5.8994,30°,RAS
23 fevrier 2019 ,Mont-Perdu - Gavarnie - Bigorre,NE,,42.93750,0.295472,30° maxi,"ras, tout semble stable."
23 fevrier 2019 ,Vosges,T,,48.03424,7.045723,30 à 50°,ras
23 fevrier 2019 ,Mercantour - Alpes Maritimes Italiennes,SE,Roya ,44.09809,7.505764,s3,RAS
23 fevrier 2019 ,Belledonne,N,Oisans ,45.13065,6.01986,45°/200m 40°/500m,"RAS, Une coulée visible versant Nord du grand pic"
23 fevrier 2019 ,Préalpes apenzelloises,E,,47.14694,9.43125,40° 200m,aucune
23 fevrier 2019 ,Ecrins,S,Champsaur ,44.7379,06.2479,44° sur 200 m,ras des boules dans le bas du couloir
23 fevrier 2019 ,Belledonne,S,Grésivaudan ,45.24319,5.979609,30° à 35° sur la fin,RAS
23 fevrier 2019 ,Belledonne,SE,Oisans ,45.20321,6.04034,175m à 45° avec 25m a 50°),RAS
23 fevrier 2019 ,Chartreuse,T,Chartreuse ,45.35508,5.78776,Passages 35°,RAS
23 fevrier 2019 ,Ecrins,N,"Haute Durance, Briançonnais ",44.833,06.566,30° maxi,RAS
23 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,NW,Embrunais ,44.55966,6.547143,30° en forêt,ras
23 fevrier 2019 ,Ecrins,N,Champsaur ,44.6718,06.3242,30° sur 300m,"rien à part l'habituelle, descendue il y a déjà un moment dans le couloir de droite (en descendant)"
23 fevrier 2019 ,Bauges,T,Bauges ,45.63847,6.19243,40° sur 300m,"ras si ce n'est que le couloir bis de descente du pécloz n'est plus praticable, une coulée conséquente a balayé entièrement celui-ci"
23 fevrier 2019 ,Ecrins,SW,"Haute Durance, Briançonnais ",44.9704,6.4998,40° (combe du Riou) passage à 45°( sous cr^te Montagnolle),RAS
23 fevrier 2019 ,Belledonne,S,Maurienne ,45.28305,6.21008,35°/100m,Rien vu
23 fevrier 2019 ,Vercors,E,Trièves Dévoluy ,44.8924,05.5480,"30°, 35° sous le pas de la Ville",ras sur l'itinéraire...
23 fevrier 2019 ,Cerces - Thabor - Mont Cenis,NW,"Haute Durance, Briançonnais ",45.0025,6.66083,27,aucune
23 fevrier 2019 ,Mont Blanc,T,Vallée de l'Arve ,45.79597,6.71743,30°,RAS
23 fevrier 2019 ,Devoluy,SE,Devoluy ,44.6719,05.8567,30°/35° sur 300m,ras
23 fevrier 2019 ,Belledonne,S,Grésivaudan ,45.1870,5.8994,30°/400m," Rien vu, ni au Crozet."
23 fevrier 2019 ,Ecrins,NE,Champsaur ,44.6227,06.2279,40° sur 50m,RAS
23 fevrier 2019 ,Vanoise,W,Tarentaise ,45.45845,6.899056,40° sur 100m sous l'arête,RAS
23 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,SE,Vallée de l'Arve ,46.0192,06.9198,30°,ras
23 fevrier 2019 ,Beaufortain,T,Tarentaise ,45.5924,06.6708,45° sur 100 m,"RAS, mais tous les couloirs d'avalanche de Foran ne sont pas encore partis. Ca ne devrait pas tarder. Enorme avalanche de fond descendant des crêtes du Rognaix, quasi jusqu'au torrent. 2 jours ?"
23 fevrier 2019 ,Bornes - Aravis,W,Borne-Fier ,45.8518,06.4118,"250m 45°, 50m 50°",RAS
22 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,N,Embrunais ,44.5,6.4561,"35°/200m, passage à 40°",ras
22 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,NE,Vallée de l'Arve ,46.0227,06.9168,"45° sur 50m, 100m à 40°","RAS, dans le couloir neigetraffolée dans le haut ***/**** ensuite quand ça s'élargit on peut trouver des bonnes sections moins tracées ****. Dès qu'on bascule au soleil de la bonne transfo (vers 10h30-12h)."
22 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,S,,44.42186,6.898469,40° sur 200m,Rien observé
22 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,NE,Embrunais ,44.5008,6.5517,35° maxi (en forêt),ras
22 fevrier 2019 ,Mont-Perdu - Gavarnie - Bigorre,T,,42.85278,-0.13417,30°/100m,ras
